Tot_sales,Tot_amount,Avg_review,Avg_delivery,Tot_sales_Quartile,Avg_review_Quartile,Tot_amount_Quartile,Avg_delivery_Quartile,SellerScore
429,55604.28,4.1328671328671325,2.0688958083601277,4,2,4,3,4423
17,3554.320000000001,3.5294117647058822,3.6470588235294117,3,1,4,2,3412
31,4078.2900000000013,4.290322580645161,1.976714544943463,4,3,4,3,4433
4,750.49,4.5,3.0,2,3,2,2,2232
2,259.9,4.5,1.0,1,3,2,4,1234
15,3588.0499999999997,4.333333333333333,3.7518767262164903,3,3,4,2,3432
1,178.99,5.0,5.0,1,4,1,1,1141
11,1056.9,4.181818181818182,1.1818181818181819,3,3,3,4,3334
5,539.7,5.0,4.2,2,4,2,1,2241
148,15744.0,3.608108108108108,1.695945945945946,4,1,4,4,4414
1,95.0,3.0,8.0,1,1,1,1,1111
6,119.57999999999998,3.5,0.6666666666666666,2,1,1,4,2114
3,788.89,3.6666666666666665,3.6666666666666665,2,1,2,2,2212
36,3919.8700000000017,4.083333333333333,1.9444444444444444,4,2,4,3,4423
80,4293.000000000003,3.65,5.275,4,1,4,1,4411
11,649.53,4.090909090909091,6.181818181818182,3,2,2,1,3221
9,999.4999999999999,4.333333333333333,3.6666666666666665,3,3,3,2,3332
30,3126.0,3.933333333333333,1.8333333333333333,4,2,3,4,4324
24,3718.51,3.9583333333333335,1.25,3,2,4,4,3424
46,5382.180000000003,4.304347826086956,3.0,4,3,4,2,4432
7,183.0,5.0,3.2857142857142856,2,4,1,2,2142
56,11976.839999999991,3.732142857142857,3.6577580835668226,4,2,4,2,4422
3,174.70000000000002,4.333333333333333,2.0,2,3,1,3,2133
36,13592.079999999994,4.277777777777778,5.472222222222222,4,3,4,1,4431
3,3477.7000000000003,1.0,26.426050297749118,2,1,4,1,2411
